node_id,node
770,2001600100012_5881	
771,2001600100012_5991	
772,2001600100012_60852	
773,2001600100012_6230	
774,2001600100012_6279	
775,2001600100012_68873	
776,2001600100012_6918141	
777,2001600100012_6918182	
778,2001600100012_6918446	
779,2001600100012_6918602	
780,2001600100012_9290	
781,2001600100012_9677	
782,2001780_10152654	
783,2001780_10201696	
784,2001780_10313457	
785,2001780_10345214	
786,2001780_130956	
787,2001780_13109	
788,2001780_13388558	
789,2001780_154257	
790,2001780_16750192	
791,2001780_176405	
792,2001780_179337	
793,2001780_2088	
794,2001780_216416	
795,2001780_223368	
796,2001780_25022354	
797,2001780_3001028	
798,2001780_44137686	
799,2001780_444008	
800,2001780_5035	
801,2001780_5280795	
802,2001780_5280933	
803,2001780_5282367	
804,2001780_5283731	
805,2001780_57398987	
806,2001780_5757	
807,2001780_5870	
808,2001780_5878	
809,2001780_5881	
810,2001780_5991	
811,2001780_60852	
812,2001780_6230	
813,2001780_6279	
814,2001780_68873	
815,2001780_6918141	
816,2001780_6918182	
817,2001780_6918446	
818,2001780_6918602	
819,2001780_9290	
820,2001780_9677	
821,2001800010008_10152654	
822,2001800010008_10201696	
823,2001800010008_10313457	
824,2001800010008_10345214	
825,2001800010008_130956	
826,2001800010008_13109	
827,2001800010008_13388558	
828,2001800010008_154257	
829,2001800010008_16750192	
830,2001800010008_176405	
831,2001800010008_179337	
832,2001800010008_2088	
833,2001800010008_216416	
834,2001800010008_223368	
835,2001800010008_25022354	
836,2001800010008_3001028	
837,2001800010008_44137686	
838,2001800010008_444008	
839,2001800010008_5035	
840,2001800010008_5280795	
841,2001800010008_5280933	
842,2001800010008_5282367	
843,2001800010008_5283731	
844,2001800010008_57398987	
845,2001800010008_5757	
846,2001800010008_5870	
847,2001800010008_5878	
848,2001800010008_5881	
849,2001800010008_5991	
850,2001800010008_60852	
851,2001800010008_6230	
852,2001800010008_6279	
853,2001800010008_68873	
854,2001800010008_6918141	
855,2001800010008_6918182	
856,2001800010008_6918446	
857,2001800010008_6918602	
858,2001800010008_9290	
859,2001800010008_9677	
860,2002600050004_10313457	
861,2002600050004_10345214	
862,2002600050004_130956	
863,2002600050004_13388558	
864,2002600050004_2088	
865,2002600050004_25022354	
866,2002600050004_44137686	
867,2002600050004_5280933	
868,2002600050004_5282367	
869,2002600050004_60852	
870,2002600050004_6918182	
871,2002600050004_6918446	
872,2002600050004_9290	
873,2002600050005_10313457	
874,2002600050005_10345214	
875,2002600050005_130956	
876,2002600050005_13388558	
877,2002600050005_2088	
878,2002600050005_25022354	
879,2002600050005_5280933	
880,2002600050005_5282367	
881,2002600050005_60852	
882,2002600050005_6918182	
883,2002600050005_6918446	
884,2002600050005_9290	
885,2002600050006_10313457	
886,2002600050006_10345214	
887,2002600050006_130956	
888,2002600050006_13388558	
889,2002600050006_2088	
890,2002600050006_25022354	
891,2002600050006_44137686	
892,2002600050006_5280933	
893,2002600050006_5282367	
894,2002600050006_60852	
895,2002600050006_6918182	
896,2002600050006_6918446	
897,2002600050006_9290	
898,2002600050007_10313457	
899,2002600050007_10345214	
900,2002600050007_130956	
901,2002600050007_13388558	
902,2002600050007_2088	
903,2002600050007_25022354	
904,2002600050007_44137686	
905,2002600050007_5280933	
906,2002600050007_5282367	
907,2002600050007_60852	
908,2002600050007_6918182	
909,2002600050007_6918446	
910,2002600050007_9290	
911,2002600050008_10313457	
912,2002600050008_10345214	
913,2002600050008_130956	
914,2002600050008_13388558	
915,2002600050008_2088	
916,2002600050008_25022354	
917,2002600050008_44137686	
918,2002600050008_5280933	
919,2002600050008_5282367	
920,2002600050008_60852	
921,2002600050008_6918182	
922,2002600050008_6918446	
923,2002600050008_9290	
924,2002600050012_10313457	
925,2002600050012_10345214	
926,2002600050012_130956	
